00:00:00$00:00:57$01:04:03$00:00:57$1$0$52,45$41,025287$28,888088$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:00:57$01:04:03$00:00:57$1$0$52,46$41,025287$28,888088$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:00:58$01:04:02$00:00:58$1$0$52,46$41,025287$28,888088$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:00:58$01:04:02$00:00:58$1$0$52,47$41,02529$28,88808$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:00:59$01:04:01$00:00:59$1$0$52,48$41,025294$28,888071$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:00:59$01:04:01$00:00:59$1$0$52,48$41,025294$28,888071$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:01:00$01:04:00$00:01:00$1$0$52,49$41,025294$28,888071$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:01:00$01:04:00$00:01:00$1$0$52,5$41,025299$28,888059$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:01:01$01:03:59$00:01:01$1$0$52,5$41,025301$28,88805$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:01:01$01:03:59$00:01:01$1$0$52,51$41,025301$28,88805$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:01:02$01:03:58$00:01:02$1$0$52,52$41,025301$28,88805$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:01:02$01:03:58$00:01:02$1$0$52,53$41,025302$28,888045$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:01:03$01:03:57$00:01:03$1$0$52,53$41,025301$28,888044$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:01:03$01:03:57$00:01:03$1$0$52,54$41,025301$28,888044$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:01:04$01:03:56$00:01:04$1$0$52,55$41,025301$28,888044$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:01:04$01:03:56$00:01:04$1$0$52,55$41,025301$28,888044$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:01:05$01:03:55$00:01:05$1$0$52,56$41,0253$28,88804$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:01:05$01:03:55$00:01:05$1$0$52,57$41,0253$28,88804$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:01:06$01:03:54$00:01:06$1$0$52,57$41,0253$28,88804$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:01:06$01:03:54$00:01:06$1$0$52,58$41,0253$28,88804$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:01:07$01:03:53$00:01:07$1$0$52,59$41,0253$28,88804$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:01:07$01:03:53$00:01:07$1$0$52,59$41,025303$28,88804$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
